gene,essential,comment
PA14_09070,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00630,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_69660,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34740,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58860,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09030,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_45340,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_71380,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44170,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_20460,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25520,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41960,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08930,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_06860,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_18800,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_28670,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07970,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11150,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_47010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_19590,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30240,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_63820,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_06580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_29190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25670,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_70190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44270,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_36770,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_56670,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_56910,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66960,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_15970,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_22010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_46390,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_38270,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60450,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_73300,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08940,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62720,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_53690,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08890,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_47420,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_52500,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60400,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_27170,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_42540,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12110,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44140,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17330,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_35000,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_36850,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58170,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_71370,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57020,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57440,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08980,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30380,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_29750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57830,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08840,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08960,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_50510,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_72070,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17490,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_69200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08900,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30370,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14800,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_01560,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08250,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_42300,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08510,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07590,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09080,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_28680,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_29600,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_06730,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30390,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_36560,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08950,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44050,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_39100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_28500,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_45620,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58210,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14740,yes,"Manoil and Ausubel Overlap, 2005, LB"
