gene,essential,comment
PA14_44060,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_44050,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_44030,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_44020,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_43680,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_25660,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23800,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_44010,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_44000,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_04580,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_41350,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_25550,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17130,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_15310,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14880,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11400,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_60330,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_61710,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_62940,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_31750,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_67600,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17190,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17120,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_51270,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_49460,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_49470,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_34370,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_30670,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11260,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17270,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_64100,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_64110,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23860,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11510,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11410,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_56780,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66920,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_60890,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_73260,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_73300,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_00280,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_04310,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_04480,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_04760,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07230,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07590,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_07910,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08400,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_08630,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_50800,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_49340,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_41400,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_30110,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_29600,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_25740,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_25530,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_25510,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23560,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23320,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_23220,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17290,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17220,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17210,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17110,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17080,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_16950,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_14820,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11860,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11550,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_11460,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57330,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57340,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57380,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57390,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57410,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_57500,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_58780,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_61580,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_61660,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_61750,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_62850,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_65500,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_65960,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66060,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66230,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66550,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66610,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_66900,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_67490,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_68200,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_69440,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_69450,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_70240,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_70260,yes,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_73170,yes,"Manoil and Ausubel Overlap, 2005, LB met"
